800,15985800
2000,8523600
3000,7992100
4000,7989200
5000,23980500
6000,15987500
7000,154916300
8000,15987100
9000,103911700
10000,170402500
11000,103098900
12000,71942200
13000,95918900
14000,87927800
15000,111904900
16000,167864100
17000,178909900
18000,183848200
19000,367692000
20000,271773500
300,7992000
500,95921300
3000,15987600
5000,7992700
6000,55954200
7000,23976500
8000,31973200
9000,23985500
10000,87927500
11000,71947200
12000,87924800
13000,159870400
14000,98463800
15000,143878400
16000,242848100
17000,215819000
18000,239803200
19000,191839400
20000,303748300
